1050	1313	1986
1986	1313	1985
1826	768	1827
767	768	1826
771	1501	1660
1660	1501	261
1660	262	1874
261	262	1660
880	878	2644
2644	881	880
881	1659	880
2644	1339	2350
2350	881	2644
875	881	2350
2350	1339	1471
2350	877	875
876	877	2350
1471	1472	2350
2350	1472	876
2267	1351	2265
94	2267	2265
2265	2264	94
1401	2264	2265
2265	1351	1401
364	1869	361
361	1868	364
1830	1828	875
875	877	1830
1830	359	358
358	1828	1830
772	2354	771
771	1660	772
772	1660	1874
2355	2271	1633
103	2271	2355
2362	104	105
105	2438	2362
2362	2438	1478
1478	1390	2362
780	2270	778
780	779	2270
778	1627	780
780	1627	1468
1468	779	780
775	1468	776
775	779	1468
776	2346	775
1465	777	1834
2151	2472	1967
1967	2472	2104
1432	1752	650
242	1603	241
242	2622	1603
2621	2622	242
1670	265	1881
633	2670	634
1477	1832	2439
2439	1832	2670
2670	532	2439
794	1063	2439
1478	1477	2439
2439	1063	1478
1478	1063	1064
763	2045	604
604	2045	605
604	2515	763
446	368	2162
449	447	2168
282	2119	281
281	2046	282
2162	368	2039
368	369	2039
2039	537	2162
285	2192	2170
2170	2119	282
282	285	2170
1292	2119	2170
1827	1984	290
1759	257	1764
1764	257	486
812	642	152
152	813	812
164	1396	1490
1490	874	2523
2597	1396	1987
1987	2598	2597
1861	2016	1110
2620	1068	2592
1975	159	1976
859	2620	1975
189	2608	1805
1805	1802	188
188	189	1805
1805	1283	1802
1805	2592	1070
1070	1283	1805
2522	1491	1398
2522	195	1491
1836	194	190
1987	1396	2599
2599	1396	195
2599	1836	1987
2599	194	1836
195	2522	2599
2599	2522	194
540	564	1508
1402	564	540
540	2103	1402
1508	564	1509
1509	265	1508
1509	1972	488
488	265	1509
909	1799	910
910	1972	909
697	564	1402
697	1509	564
2629	187	2628
2628	187	1973
1669	266	489
2001	479	1511
1666	487	1879
1065	1878	1066
1066	1601	1065
1398	1491	865
1800	2436	1639
910	1799	1598
1973	705	1598
1598	2628	1973
1799	2628	1598
1877	811	1974
2607	1877	1974
1974	1973	159
198	169	2116
1689	1690	2560
2443	1690	1689
1689	2444	2443
2560	1904	1689
1904	2444	1689
2042	1526	2562
1526	205	2562
1683	206	204
205	1684	2596
2596	1684	1682
2596	2562	205
2596	204	2562
2596	1682	1683
1683	204	2596
629	623	1566
1566	630	629
800	1768	801
1683	1682	1119
280	1566	498
498	1903	286
1566	1903	498
209	208	2087
2087	2440	209
209	2440	2557
2112	208	209
209	2557	2112
2569	614	2442
2442	1448	2569
1372	784	1760
1057	1315	1445
203	2272	2441
2441	2272	170
2041	1448	2442
2041	2441	1448
203	2441	2041
2561	172	2560
1768	172	2561
1613	1315	1614
1470	290	1614
1057	1470	1614
1614	1315	1057
461	1464	462
462	1834	461
462	370	1465
1465	1834	462
632	2443	537
632	631	2443
537	2039	632
625	2119	1292
2443	631	625
1292	1690	625
625	1690	2443
536	2444	534
537	2444	536
2162	537	536
870	1397	1864
1864	872	870
871	1397	870
1850	871	870
870	872	1850
798	613	1447
1447	1959	798
202	172	1768
1768	1959	202
202	1959	203
1904	172	202
202	2041	1904
203	2041	202
291	1761	2027
1400	2440	2087
2087	1053	1400
1053	1052	1400
1048	1762	1053
1048	1053	2087
53	2280	2276
2276	52	53
2278	52	2276
2375	1462	1383
1383	2279	2375
2375	2279	55
2281	2280	54
54	2279	2281
54	2280	53
55	2279	54
51	52	2277
2456	51	2277
2277	52	2278
2277	1584	2456
2278	1584	2277
1772	804	1582
807	804	1772
1775	331	1792
1431	2094	429
989	2094	1431
426	331	1775
1775	1796	426
1775	1792	987
2098	2626	2096
2096	2626	2100
2471	829	2098
2098	2096	2471
821	2471	819
1380	821	819
2536	174	2537
2627	2101	177
177	2626	2627
1208	1948	1209
2537	1960	1961
1961	1960	2615
2615	2573	1961
1211	2615	1213
2615	1212	1213
1213	1779	1211
1213	1212	1779
829	1427	1300
1300	1427	1428
1428	1212	1300
2098	829	1300
1300	1960	2098
1300	1212	1960
2154	2573	1215
2154	1961	2573
2537	1961	2154
2084	217	2154
1101	2573	1210
2156	2157	1298
2156	2534	2108
454	1594	393
393	1594	1798
1798	452	393
393	1461	454
2084	1214	2535
2535	1593	2084
1298	2157	1098
1098	1594	1298
1798	1594	1098
1098	1099	1798
1625	1622	1093
450	1622	1625
1093	1622	1095
1798	1099	1095
1095	1622	1798
240	2105	192
192	2104	240
2104	2472	240
1969	1086	1753
1215	2092	1962
1962	2092	303
303	304	1962
451	1626	450
450	1625	451
297	1624	451
1624	1626	451
1825	297	451
451	1625	1825
920	921	1621
920	2652	921
708	707	2372
2372	927	708
2372	1341	1383
926	927	2372
1383	2652	2372
2372	2652	926
1621	921	1623
1623	452	1621
1461	393	1623
1623	393	452
1620	453	454
713	2465	1382
60	2275	2274
1459	2453	2452
2371	2453	1459
1459	1458	2371
567	2674	2600
384	1845	308
1821	1606	306
840	1818	841
839	1821	840
840	1821	1818
2448	62	2449
62	2368	2449
2449	2368	1609
2449	1437	2448
1609	1437	2449
1815	2275	2448
2448	1437	1815
2450	1437	1609
2450	840	841
2450	1815	1437
63	64	2369
1609	1444	2664
839	840	2664
2664	2450	1609
840	2450	2664
1809	385	1983
1809	565	1808
694	693	1642
692	2412	694
2648	693	694
694	2412	2648
899	1641	898
